CONCEPT	DOCULECT	COUNTERPART	TOKENS	CONCEPT_LIST
795	(mediopassive/middle suffix, with minor variants parenthesized)	Nanga	yí	j í	DB
796	(mediopassive/middle suffix, with minor variants parenthesized)	Penange	yv	j v	DB
797	(mediopassive/middle suffix, with minor variants parenthesized)	Perge_Tegu	yv́	j v́	DB
798	(mediopassive/middle suffix, with minor variants parenthesized)	Tebul_Ure	e:	eː	DB
799	(mediopassive/middle suffix, with minor variants parenthesized)	Tebul_Ure	i:	iː	DB
800	(mediopassive/middle suffix, with minor variants parenthesized)	Tiranige	yó	j ó	DB
801	(mediopassive/middle suffix, with minor variants parenthesized)	Tiranige	yɔ́	j ɔ́	DB
802	(mediopassive/middle suffix, with minor variants parenthesized)	Togo_Kan	ɛ:	ɛː	DB
803	(mediopassive/middle suffix, with minor variants parenthesized)	Togo_Kan	i:	iː	DB
804	(mediopassive/middle suffix, with minor variants parenthesized)	Yanda_Dom	yv́	j v́	DB
805	(mediopassive/middle suffix, with minor variants parenthesized)	Yorno_So	ɛ́:/í:	ɛ́ː íː	DB
806	(negative morpheme after nonzero 'it is...' clitic)	Ampari	rà	r à	DB
807	(negative morpheme after nonzero 'it is...' clitic)	Bunoge	=là	l à	DB
808	(negative morpheme after nonzero 'it is...' clitic)	Jamsay_Douentza	=là:	l àː	DB
809	(negative morpheme after nonzero 'it is...' clitic)	Jamsay_Mondoro	là:	l àː	DB
810	(negative morpheme after nonzero 'it is...' clitic)	Najamba	là	l à	DB
811	(negative morpheme after nonzero 'it is...' clitic)	Nanga	ǹdó	ǹ d ó	DB
812	(negative morpheme after nonzero 'it is...' clitic)	Perge_Tegu	rà:	r àː	DB
813	(negative morpheme after nonzero 'it is...' clitic)	Togo_Kan	lò	l ò	DB
814	(negative morpheme after nonzero 'it is...' clitic)	Yorno_So	=lǎ:	l ǎː	DB
815	(negative suffix after sv- 'have')	Ampari	ndá	n d á	DB
816	(negative suffix after sv- 'have')	Ben_Tey	ló	l ó	DB
817	(negative suffix after sv- 'have')	Bunoge	ndá	n d á	DB
818	(negative suffix after sv- 'have')	Jamsay_Douentza	rá	r á	DB
819	(negative suffix after sv- 'have')	Jamsay_Mondoro	rá	r á	DB
820	(negative suffix after sv- 'have')	Mombo	nda	n d a	DB
821	(negative suffix after sv- 'have')	Najamba	ndi	n d i	DB
822	(negative suffix after sv- 'have')	Nanga	ǹdó	ǹ d ó	DB
823	(negative suffix after sv- 'have')	Penange	ndá	n d á	DB
824	(negative suffix after sv- 'have')	Perge_Tegu	rá	r á	DB
825	(negative suffix after sv- 'have')	Tiranige	nà	n à	DB
826	(negative suffix after sv- 'have')	Togo_Kan	rá	r á	DB
827	(negative suffix after sv- 'have')	Tommo_So	lɛ́	l ɛ́	DB
828	(negative suffix after sv- 'have')	Toro_Tegu	rá	r á	DB
829	(negative suffix after sv- 'have')	Yanda_Dom	ń	ń	DB
830	(negative suffix after sv- 'have')	Yorno_So	lɛ́	l ɛ́	DB
831	(negative suffix after wo-/ko- 'be')	Jamsay_Douentza	rɔ́	r ɔ́	DB
832	(negative suffix after wo-/ko- 'be')	Jamsay_Mondoro	rɔ́	r ɔ́	DB
833	(negative suffix after wo-/ko- 'be')	Penange	l	l	DB
834	(negative suffix after wo-/ko- 'be')	Togo_Kan	rɔ́	r ɔ́	DB
835	(negative suffix after wo-/ko- 'be')	Yorno_So	lɔ́	l ɔ́	DB
836	(negative suffix or clitic after predicative adjective)	Ampari	ndà	n d à	DB
837	(negative suffix or clitic after predicative adjective)	Bunoge	ʔórì	ʔ ó r ì	DB
838	(negative suffix or clitic after predicative adjective)	Jamsay_Douentza	=lá	l á	DB
839	(negative suffix or clitic after predicative adjective)	Jamsay_Mondoro	lá	l á	DB
840	(negative suffix or clitic after predicative adjective)	Mombo	lá	l á	DB
841	(negative suffix or clitic after predicative adjective)	Najamba	=ǹdá	ǹ d á	DB
842	(negative suffix or clitic after predicative adjective)	Nanga	ǹdó	ǹ d ó	DB
843	(negative suffix or clitic after predicative adjective)	Penange	yà wǒl	j à 	DB
844	(negative suffix or clitic after predicative adjective)	Perge_Tegu	rá	r á	DB
845	(negative suffix or clitic after predicative adjective)	Tiranige	nà	n à	DB
846	(negative suffix or clitic after predicative adjective)	Tiranige	órâ	ó r â	DB
847	(negative suffix or clitic after predicative adjective)	Togo_Kan	=lá	l á	DB
848	(negative suffix or clitic after predicative adjective)	Tommo_So	lɛ́	l ɛ́	DB
849	(negative suffix or clitic after predicative adjective)	Toro_Tegu	sàrá	s à r á	DB
850	(negative suffix or clitic after predicative adjective)	Yanda_Dom	=lǎ	l ǎ	DB
851	(negative suffix or clitic after predicative adjective)	Yorno_So	lá	l á	DB
852	(not) any	Ampari	tà: bé:	t àː 	DB
853	(not) any	Ben_Tey	kâ:ⁿ	k ã̂ː	DB
854	(not) any	Jamsay_Douentza	kâ:ⁿ	k ã̂ː	DB
855	(not) any	Nanga	kámâ	k á m â	DB
856	(not) any	Nanga	kɔ̀ kámâ	k ɔ̀ 	DB
857	(not) any	Penange	hál tà:ŋgà	h á l 	DB
858	(not) any	Perge_Tegu	kâ:ⁿ	k ã̂ː	DB
859	(not) any	Tiranige	hàlí	h à l í	DB
860	(not) any	Togo_Kan	pɔ̂:ⁿ	p ɔ̂ːⁿ	DB
861	(not) any	Toro_Tegu	kálá:	k á l áː	DB
862	(not) any	Yanda_Dom	kámá	k á m á	DB
863	(not) any	Yorno_So	kâ:ⁿ	k ã̂ː	DB
864	(passive suffix or clitic)	Ben_Tey	yɛ́y	j ɛ́ j	DB
865	(passive suffix or clitic)	Ben_Tey	wú	w ú	DB
866	(passive suffix or clitic)	Bunoge	é: bò	éː 	DB
867	(passive suffix or clitic)	Bunoge	ɛ́: bò	ɛ́ː 	DB
868	(passive suffix or clitic)	Bunoge	í: bò	íː 	DB
869	(passive suffix or clitic)	Bunoge	mì	m ì	DB
870	(passive suffix or clitic)	Jamsay_Douentza	wv́	w v́	DB
871	(passive suffix or clitic)	Najamba	à:=y	àː j	DB
872	(passive suffix or clitic)	Nanga	yɛ́	j ɛ́	DB
873	(passive suffix or clitic)	Penange	é: bò	éː 	DB
874	(passive suffix or clitic)	Penange	ɛ́: bò	ɛ́ː 	DB
875	(passive suffix or clitic)	Penange	í: bò	íː 	DB
876	(passive suffix or clitic)	Penange	mû:	m ûː	DB
877	(passive suffix or clitic)	Togo_Kan	mv	m v	DB
878	(passive suffix or clitic)	Toro_Tegu	mv́	m v́	DB
879	(passive suffix or clitic)	Yanda_Dom	mɛ́	m ɛ́	DB
880	(passive suffix or clitic)	Yorno_So	mɔ́	m ɔ́	DB
881	(Past morpheme, conjugatable)	Ben_Tey	=bɛ	b ɛ	DB
882	(Past morpheme, conjugatable)	Najamba	=bɛ	b ɛ	DB
883	(Past morpheme, conjugatable)	Nanga	=bɛ	b ɛ	DB
884	(Past morpheme, conjugatable)	Tiranige	ɛ	ɛ	DB
885	(Past morpheme, conjugatable)	Tiranige	ye	j e	DB
886	(Past morpheme, conjugatable)	Yanda_Dom	=bɛ	b ɛ	DB
887	(Past morpheme, conjugatable)	Yorno_So	=bé	b é	DB
888	(Past morpheme, invariant)	Ampari	wɛ́	w ɛ́	DB
889	(Past morpheme, invariant)	Bunoge	mbɛ̀	m b ɛ̀	DB
890	(Past morpheme, invariant)	Bunoge	wɛ̀	w ɛ̀	DB
891	(Past morpheme, invariant)	Jamsay_Douentza	jì:ⁿ	dʒ ìːⁿ	DB
892	(Past morpheme, invariant)	Jamsay_Douentza	jǐ:ⁿ	dʒ ǐːⁿ	DB
893	(Past morpheme, invariant)	Penange	yè	j è	DB
894	(Past morpheme, invariant)	Tomo_Kan_Segue	=wⁿ	wⁿ	DB
895	(Past morpheme, invariant)	Toro_Tegu	nɔ̀	n ɔ̀	DB
896	(perfective negative suffix)	Ampari	rí	r í	DB
897	(perfective negative suffix)	Ben_Tey	rí	r í	DB
898	(perfective negative suffix)	Bunoge	lì	l ì	DB
899	(perfective negative suffix)	Jamsay_Douentza	lí	l í	DB
900	(perfective negative suffix)	Jamsay_Mondoro	lí	l í	DB
901	(perfective negative suffix)	Mombo	lì	l ì	DB
902	(perfective negative suffix)	Najamba	l	l	DB
903	(perfective negative suffix)	Nanga	rí	r í	DB
904	(perfective negative suffix)	Penange	l	l	DB
905	(perfective negative suffix)	Perge_Tegu	rí	r í	DB
906	(perfective negative suffix)	Tiranige	nì	n ì	DB
907	(perfective negative suffix)	Togo_Kan	lí	l í	DB
908	(perfective negative suffix)	Tommo_So	lí	l í	DB
909	(perfective negative suffix)	Toro_Tegu	lí	l í	DB
910	(perfective negative suffix)	Toro_Tegu	rí	r í	DB
911	(perfective negative suffix)	Yanda_Dom	li	l i	DB
912	(perfective negative suffix)	Yorno_So	l	l	DB
913	(perfective-2, e.g. -so/-sa/-sɛ)	Ben_Tey	sô	s ô	DB
914	(perfective-2, e.g. -so/-sa/-sɛ)	Jamsay_Douentza	sà	s à	DB
915	(perfective-2, e.g. -so/-sa/-sɛ)	Najamba	jò	dʒ ò	DB
916	(perfective-2, e.g. -so/-sa/-sɛ)	Najamba	jògâ:	dʒ ò ɡ âː	DB
917	(perfective-2, e.g. -so/-sa/-sɛ)	Nanga	só	s ó	DB
918	(perfective-2, e.g. -so/-sa/-sɛ)	Perge_Tegu	sà	s à	DB
919	(perfective-2, e.g. -so/-sa/-sɛ)	Tiranige	sà	s à	DB
920	(perfective-2, e.g. -so/-sa/-sɛ)	Tomo_Kan_Segue	sá	s á	DB
921	(perfective-2, e.g. -so/-sa/-sɛ)	Toro_Tegu	sv́	s v́	DB
922	(perfective-2, e.g. -so/-sa/-sɛ)	Yanda_Dom	zò	z ò	DB
923	(person, animal, tree, etc.) be in (sth)	Jamsay_Douentza	yɔ́≡kùn	j ɔ́ k ù n	DB
924	(person, animal, tree, etc.) be in (sth)	Najamba	túnò	t ú n ò	DB
925	(person, animal, tree, etc.) be in (sth)	Nanga	yá kùrⁿò	j á 	DB
926	(person, animal, tree, etc.) be in (sth)	Perge_Tegu	yá≡kùn	j á k ù n	DB
927	(person, animal, tree, etc.) be in (sth)	Tebul_Ure	yé tùnà	j é 	DB
928	(person, animal, tree, etc.) be in (sth)	Yanda_Dom	yà kún	j à 	DB
929	(person, animal, tree, etc.) be in (sth)	Yanda_Dom	kùn	k ù n	DB
930	(person, animal, tree, etc.) be in (sth)	Yorno_So	yá tò	j á 	DB
931	(plant) sprout, come up (verb)	Bangime	púr̃á	p ú rⁿ á	DB,SW
932	(plant) sprout, come up (verb)	Bankan_Tey	tíyɛ́	t í j ɛ́	DB,SW
933	(plant) sprout, come up (verb)	Ben_Tey	tíyɛ́	t í j ɛ́	DB,SW
934	(plant) sprout, come up (verb)	Bunoge	pújè	p ú dʒ è	DB,SW
935	(plant) sprout, come up (verb)	Dogul_Dom	tìyɛ́	t ì j ɛ́	DB,SW
936	(plant) sprout, come up (verb)	Gourou	tɔ́gɔ́	t ɔ́ ɡ ɔ́	DB,SW
937	(plant) sprout, come up (verb)	Jamsay_Douentza	tɔ́ɣɔ́	t ɔ́ ɣ ɔ́	DB,SW
938	(plant) sprout, come up (verb)	Mombo	kɛ́lɛ́	k ɛ́ l ɛ́	DB,SW
939	(plant) sprout, come up (verb)	Najamba	tɛ́:	t ɛ́ː	DB,SW
940	(plant) sprout, come up (verb)	Najamba	tɛ̀:	t ɛ̀ː	DB,SW
941	(plant) sprout, come up (verb)	Nanga	tɛ́:	t ɛ́ː	DB,SW
942	(plant) sprout, come up (verb)	Penange	kɛ́lɛ́	k ɛ́ l ɛ́	DB,SW
943	(plant) sprout, come up (verb)	Perge_Tegu	tɔ́gɔ́	t ɔ́ ɡ ɔ́	DB,SW
944	(plant) sprout, come up (verb)	Tebul_Ure	tɛ́	t ɛ́	DB,SW
945	(plant) sprout, come up (verb)	Tiranige	sɔ́wɔ́	s ɔ́ w ɔ́	DB,SW
946	(plant) sprout, come up (verb)	Togo_Kan	tɔ́:	t ɔ́ː	DB,SW
947	(plant) sprout, come up (verb)	Tommo_So	sɔ́bɔ́	s ɔ́ b ɔ́	DB,SW
948	(plant) sprout, come up (verb)	Tommo_So	túmmɔ́	t ú m m ɔ́	DB,SW
949	(plant) sprout, come up (verb)	Tomo_Kan_Segue	twɛ́bɛ́	t w ɛ́ b ɛ́	DB,SW
950	(plant) sprout, come up (verb)	Toro_Tegu	bɛ̌w	b ɛ̌ w	DB,SW
951	(plant) sprout, come up (verb)	Toro_Tegu	bɛ̀wá	b ɛ̀ w á	DB,SW
952	(plant) sprout, come up (verb)	Yanda_Dom	tɛ́yálì	t ɛ́ j á l ì	DB,SW
953	(plant) sprout, come up (verb)	Yanda_Dom	tɛ́:	t ɛ́ː	DB,SW
954	(plant) sprout, come up (verb)	Yorno_So	tɛ́:	t ɛ́ː	DB,SW
955	(plural, free particle, not suffix)	Ampari	ge	ɡ e	DB
956	(plural, free particle, not suffix)	Ben_Tey	bè	b è	DB
957	(plural, free particle, not suffix)	Bunoge	gè	ɡ è	DB
958	(plural, free particle, not suffix)	Jamsay_Douentza	bé	b é	DB
959	(plural, free particle, not suffix)	Penange	gé	ɡ é	DB
960	(plural, free particle, not suffix)	Togo_Kan	bè	b è	DB
961	(plural, free particle, not suffix)	Togo_Kan	nà	n à	DB
962	(plural, free particle, not suffix)	Tomo_Kan_Segue	wé	w é	DB
963	(plural, free particle, not suffix)	Toro_Tegu	mǎ:	m ǎː	DB
964	(plural, free particle, not suffix)	Yorno_So	bé	b é	DB
965	(political) chief, boss	Bangime	déɡè ʃíjɛ̀ⁿ	d é ɡ è 	DB,SW
966	(political) chief, boss	Bankan_Tey	ámbí:rì	á m b íː r ì	DB,SW
967	(political) chief, boss	Ben_Tey	ámbí:rù	á m b íː r ù	DB,SW
968	(political) chief, boss	Bunoge	ʔàmì:rú	ʔ à m ìː r ú	DB,SW
969	(political) chief, boss	Dogul_Dom	ámɛ̀ɛ̀rɛ̀	á m ɛ̀ː r ɛ̀	DB,SW
970	(political) chief, boss	Gourou	ámí:rù	á m íː r ù	DB,SW
971	(political) chief, boss	Jamsay_Douentza	ámí:rⁿu	á m íː rⁿ u	DB,SW
972	(political) chief, boss	Mombo	ámílì	á m í l ì	DB,SW
973	(political) chief, boss	Najamba	ámbìrì	á m b ì r ì	DB,SW
974	(political) chief, boss	Najamba	ámbìrìmbò	á m b ì r ì m b ò	DB,SW
975	(political) chief, boss	Najamba	kî:	k îː	DB,SW
976	(political) chief, boss	Najamba	kî:mbò	k îː m b ò	DB,SW
977	(political) chief, boss	Nanga	ámbérì	á m b é r ì	DB,SW
978	(political) chief, boss	Penange	kó:	k óː	DB,SW
979	(political) chief, boss	Perge_Tegu	ámírù	á m í r ù	DB,SW
980	(political) chief, boss	Sangha_So	kúúnó	k úː n ó	DB,SW
981	(political) chief, boss	Tebul_Ure	ámbírí	á m b í r í	DB,SW
982	(political) chief, boss	Tebul_Ure	ámbírímbò	á m b í r í m b ò	DB,SW
983	(political) chief, boss	Tiranige	àmìrí	à m ì r í	DB,SW
984	(political) chief, boss	Togo_Kan	ámírⁿí	á m í rⁿ í	DB,SW
985	(political) chief, boss	Tommo_So	díɛ̀m	d í ɛ̀ m	DB,SW
986	(political) chief, boss	Tommo_So	díɛ̀nɛ̀	d í ɛ̀ n ɛ̀	DB,SW
987	(political) chief, boss	Tommo_So	kùù bàŋáá	k ùː 	DB,SW
988	(political) chief, boss	Tommo_So	pàtrɔ́	p à t r ɔ́	DB,SW
989	(political) chief, boss	Toro_Tegu	kú bàsà	k ú 	DB,SW
990	(political) chief, boss	Yanda_Dom	ámìrù	á m ì r ù	DB,SW
991	(political) chief, boss	Yanda_Dom	kó bádù	k ó 	DB,SW
992	(political) chief, boss	Yorno_So	ámìrù	á m ì r ù	DB,SW
993	(present negative suffix)	Najamba	ndì	n d ì	DB
994	(present positive suffix, not also future)	Najamba	njò	n dʒ ò	DB
995	(present positive suffix, not also future)	Toro_Tegu	á rv̀	á 	DB
996	(prohibitive Sg suffix)	Ampari	rù	r ù	DB
997	(prohibitive Sg suffix)	Ben_Tey	rɛ́	r ɛ́	DB
998	(prohibitive Sg suffix)	Bunoge	ndà	n d à	DB
999	(prohibitive Sg suffix)	Jamsay_Douentza	ý	j́	DB
1000	(prohibitive Sg suffix)	Najamba	là	l à	DB
1001	(prohibitive Sg suffix)	Nanga	rá	r á	DB
1002	(prohibitive Sg suffix)	Penange	ndá	n d á	DB
1003	(prohibitive Sg suffix)	Perge_Tegu	rɛ́	r ɛ́	DB
1004	(prohibitive Sg suffix)	Tebul_Ure	lì	l ì	DB
1005	(prohibitive Sg suffix)	Tiranige	lâ	l â	DB
1006	(prohibitive Sg suffix)	Togo_Kan	lé	l é	DB
1007	(prohibitive Sg suffix)	Tomo_Kan_Segue	lé	l é	DB
1008	(prohibitive Sg suffix)	Toro_Tegu	kú	k ú	DB
1009	(prohibitive Sg suffix)	Toro_Tegu	lé	l é	DB
1010	(prohibitive Sg suffix)	Toro_Tegu	lɛ́	l ɛ́	DB
1011	(prohibitive Sg suffix)	Toro_Tegu	ré	r é	DB
1012	(prohibitive Sg suffix)	Toro_Tegu	rɛ́	r ɛ́	DB
1013	(prohibitive Sg suffix)	Yanda_Dom	la	l a	DB
1014	(prohibitive Sg suffix)	Yorno_So	nɔ̀ŋ	n ɔ̀ ŋ	DB
1015	(quotative particle following the subject of a quoted sentence)	Ben_Tey	má:	m áː	DB
1016	(quotative particle following the subject of a quoted sentence)	Ben_Tey	mà:	m àː	DB
1017	(quotative particle following the subject of a quoted sentence)	Najamba	wa	w a	DB
1018	(quotative particle following the subject of a quoted sentence)	Nanga	wa	w a	DB
1019	(quotative particle following the subject of a quoted sentence)	Tiranige	wà	w à	DB
1020	(quotative particle following the subject of a quoted sentence)	Togo_Kan	wà	w à	DB
1021	(quotative particle following the subject of a quoted sentence)	Yanda_Dom	wá:	w áː	DB
1022	(quotative particle: indicate if not clause-final)	Bankan_Tey	wa	w a	DB
1023	(quotative particle: indicate if not clause-final)	Ben_Tey	wa	w a	DB
1024	(quotative particle: indicate if not clause-final)	Dogul_Dom	wá	w á	DB
1025	(quotative particle: indicate if not clause-final)	Jamsay_Douentza	wa	w a	DB
1026	(quotative particle: indicate if not clause-final)	Jamsay_Mondoro	wa	w a	DB
1027	(quotative particle: indicate if not clause-final)	Mombo	wâ:	w âː	DB
1028	(quotative particle: indicate if not clause-final)	Najamba	wa	w a	DB
1029	(quotative particle: indicate if not clause-final)	Nanga	wa	w a	DB
1030	(quotative particle: indicate if not clause-final)	Penange	wá	w á	DB
1031	(quotative particle: indicate if not clause-final)	Perge_Tegu	wa	w a	DB
1032	(quotative particle: indicate if not clause-final)	Tebul_Ure	wa	w a	DB
1033	(quotative particle: indicate if not clause-final)	Tiranige	wà	w à	DB
1034	(quotative particle: indicate if not clause-final)	Togo_Kan	gì	ɡ ì	DB
1035	(quotative particle: indicate if not clause-final)	Tommo_So	sɔ̀mmíyé	s ɔ̀ m m í j é	DB
1036	(quotative particle: indicate if not clause-final)	Tommo_So	tígɛ́	t í ɡ ɛ́	DB
1037	(quotative particle: indicate if not clause-final)	Toro_Tegu	ká	k á	DB
1038	(quotative particle: indicate if not clause-final)	Yanda_Dom	wa	w a	DB
1039	(quotative particle: indicate if not clause-final)	Yorno_So	gì	ɡ ì	DB
1040	(quotative particle: indicate if not clause-final)	Yorno_So	ɔ̀:	ɔ̀ː	DB
1041	(rain) fall (verb only)	Bangime	ʒóɔ̀ⁿ	ʒ ó ɔ̀ⁿ	DB,SW
1042	(rain) fall (verb only)	Bankan_Tey	mìrⁿɛ́	m ì rⁿ ɛ́	DB,SW
1043	(rain) fall (verb only)	Ben_Tey	mìrⁿɛ́	m ì rⁿ ɛ́	DB,SW
1044	(rain) fall (verb only)	Bunoge	ɲî:	ɲ îː	DB,SW
1045	(rain) fall (verb only)	Dogul_Dom	wɛ̀ɛ́	w ɛ̌ː	DB,SW
1046	(rain) fall (verb only)	Gourou	mìrⁿé	m ì rⁿ é	DB,SW
1047	(rain) fall (verb only)	Jamsay_Douentza	mìrⁿé	m ì rⁿ é	DB,SW
1048	(rain) fall (verb only)	Mombo	píjé	p í dʒ é	DB,SW
1049	(rain) fall (verb only)	Najamba	tɛ́gɛ́	t ɛ́ ɡ ɛ́	DB,SW
1050	(rain) fall (verb only)	Nanga	mìrⁿé	m ì rⁿ é	DB,SW
1051	(rain) fall (verb only)	Nanga	wɔ̌:	w ɔ̌ː	DB,SW
1052	(rain) fall (verb only)	Penange	wwɛ́:	w w ɛ́ː	DB,SW
1053	(rain) fall (verb only)	Perge_Tegu	mìrⁿé	m ì rⁿ é	DB,SW
1054	(rain) fall (verb only)	Sangha_So	mìwɔ́	m ì w ɔ́	DB,SW
1055	(rain) fall (verb only)	Tebul_Ure	mìrⁿɛ́	m ì rⁿ ɛ́	DB,SW
1056	(rain) fall (verb only)	Tiranige	tɛ́gɔ́	t ɛ́ ɡ ɔ́	DB,SW
1057	(rain) fall (verb only)	Togo_Kan	lɔ́wɔ́	l ɔ́ w ɔ́	DB,SW
1058	(rain) fall (verb only)	Tommo_So	mìyɛ́	m ì j ɛ́	DB,SW
1059	(rain) fall (verb only)	Toro_Tegu	mùrɔ́	m ù r ɔ́	DB,SW
1060	(rain) fall (verb only)	Toro_Tegu	mùrú	m ù r ú	DB,SW
1061	(rain) fall (verb only)	Yanda_Dom	tɛ́gɛ́	t ɛ́ ɡ ɛ́	DB,SW
1062	(rain) fall (verb only)	Yorno_So	mɛ̌:	m ɛ̌ː	DB,SW
1063	(reflexive object)	Ampari	ìŋ gí	ì ŋ 	DB
1064	(reflexive object)	Bankan_Tey	á kû:	á 	DB
1065	(reflexive object)	Ben_Tey	á	á	DB
1066	(reflexive object)	Ben_Tey	á kû:	á 	DB
1067	(reflexive object)	Bunoge	ŋgù	ŋ ɡ ù	DB
1068	(reflexive object)	Jamsay_Douentza	ìnìwⁿé	ì n ì wⁿ é	DB
1069	(reflexive object)	Jamsay_Mondoro	ìnìwⁿé	ì n ì wⁿ é	DB
1070	(reflexive object)	Mombo	kó: nà	k óː 	DB
1071	(reflexive object)	Najamba	mó kì:	m ó 	DB
1072	(reflexive object)	Nanga	áŋ	á ŋ	DB
1073	(reflexive object)	Perge_Tegu	ɛ̀lɛ́	ɛ̀ l ɛ́	DB
1074	(reflexive object)	Tebul_Ure	á	á	DB
1075	(reflexive object)	Togo_Kan	sǎⁿ	s ǎⁿ	DB
1076	(reflexive object)	Tommo_So	kúú	k úː	DB
1077	(reflexive object)	Toro_Tegu	kú mà	k ú 	DB
1078	(reflexive object)	Yanda_Dom	kóàŋ	k ó à ŋ	DB
1079	(reflexive object)	Yorno_So	kû:	k ûː	DB
1080	(reflexive possessor, 3Sg but not 1st/2nd persons)	Ampari	ǹ	ǹ	DB
1081	(reflexive possessor, 3Sg but not 1st/2nd persons)	Bankan_Tey	á	á	DB
1082	(reflexive possessor, 3Sg but not 1st/2nd persons)	Ben_Tey	á	á	DB
1083	(reflexive possessor, 3Sg but not 1st/2nd persons)	Jamsay_Douentza	ɛ̀nɛ́ mà	ɛ̀ n ɛ́ 	DB
1084	(reflexive possessor, 3Sg but not 1st/2nd persons)	Jamsay_Douentza	ìnɛ́ mà	ì n ɛ́ 	DB
1085	(reflexive possessor, 3Sg but not 1st/2nd persons)	Mombo	nà	n à	DB
1086	(reflexive possessor, 3Sg but not 1st/2nd persons)	Najamba	mó kì:	m ó 	DB
1087	(reflexive possessor, 3Sg but not 1st/2nd persons)	Nanga	á	á	DB
1088	(reflexive possessor, 3Sg but not 1st/2nd persons)	Nanga	á gɔ̀	á 	DB
1089	(reflexive possessor, 3Sg but not 1st/2nd persons)	Perge_Tegu	ɛ̀lɛ́ wà	ɛ̀ l ɛ́ 	DB
1090	(reflexive possessor, 3Sg but not 1st/2nd persons)	Tebul_Ure	ágá	á ɡ á	DB
1091	(reflexive possessor, 3Sg but not 1st/2nd persons)	Tommo_So	ńdɛ́mmɔ̀	ń d ɛ́ m m ɔ̀	DB
1092	(reflexive possessor, 3Sg but not 1st/2nd persons)	Yanda_Dom	á	á	DB
1093	(reflexive possessor, for all pronominal categories)	Mombo	há:nù kání	h áː n ù 	DB
1094	(reflexive possessor, for all pronominal categories)	Togo_Kan	sǎⁿ	s ǎⁿ	DB
1095	(reflexive possessor, for all pronominal categories)	Toro_Tegu	mà	m à	DB
1096	(relative morpheme attached to head NP)	Ben_Tey	kà:ⁿ	k àːⁿ	DB
1097	(relative morpheme attached to head NP)	Tiranige	árí	á r í	DB
1098	(relative morpheme attached to head NP)	Toro_Tegu	kà:	k àː	DB
1099	(relative morpheme, clause-final)	Toro_Tegu	ŋ́	ŋ́	DB
1100	(reversive suffix, with minor variants parenthesized)	Ampari	rɛ́	r ɛ́	DB
1101	(reversive suffix, with minor variants parenthesized)	Ben_Tey	rv́	r v́	DB
1102	(reversive suffix, with minor variants parenthesized)	Bunoge	lv̀	l v̀	DB
1103	(reversive suffix, with minor variants parenthesized)	Jamsay_Douentza	rv́	r v́	DB
1104	(reversive suffix, with minor variants parenthesized)	Najamba	l	l	DB
1105	(reversive suffix, with minor variants parenthesized)	Najamba	lɛ́	l ɛ́	DB
1106	(reversive suffix, with minor variants parenthesized)	Nanga	rí	r í	DB
1107	(reversive suffix, with minor variants parenthesized)	Penange	lv	l v	DB
1108	(reversive suffix, with minor variants parenthesized)	Perge_Tegu	rv́	r v́	DB
1109	(reversive suffix, with minor variants parenthesized)	Tebul_Ure	lí	l í	DB
1110	(reversive suffix, with minor variants parenthesized)	Tiranige	ló	l ó	DB
1111	(reversive suffix, with minor variants parenthesized)	Tiranige	lɔ́	l ɔ́	DB
1112	(reversive suffix, with minor variants parenthesized)	Togo_Kan	rv	r v	DB
1113	(reversive suffix, with minor variants parenthesized)	Tomo_Kan_Segue	lí	l í	DB
1114	(reversive suffix, with minor variants parenthesized)	Toro_Tegu	rv́	r v́	DB
1115	(reversive suffix, with minor variants parenthesized)	Yanda_Dom	lv́	l v́	DB
1116	(reversive suffix, with minor variants parenthesized)	Yorno_So	lv́	l v́	DB
1117	(sb or sth) be (somewhere)	Ampari	bó	b ó	DB
1118	(sb or sth) be (somewhere)	Bankan_Tey	bù	b ù	DB
1119	(sb or sth) be (somewhere)	Ben_Tey	bù	b ù	DB
1120	(sb or sth) be (somewhere)	Bunoge	bò	b ò	DB
1121	(sb or sth) be (somewhere)	Dogul_Dom	bìyɛ́	b ì j ɛ́	DB
1122	(sb or sth) be (somewhere)	Mombo	bó:	b óː	DB
1123	(sb or sth) be (somewhere)	Mombo	túlá	t ú l á	DB
1124	(sb or sth) be (somewhere)	Najamba	bó	b ó	DB
1125	(sb or sth) be (somewhere)	Nanga	bù	b ù	DB
1126	(sb or sth) be (somewhere)	Penange	bó	b ó	DB
1127	(sb or sth) be (somewhere)	Tebul_Ure	bù	b ù	DB
1128	(sb or sth) be (somewhere)	Tiranige	bò	b ò	DB
1129	(sb or sth) be (somewhere)	Tiranige	wò	w ò	DB
1130	(sb or sth) be (somewhere)	Toro_Tegu	á dà	á 	DB
1131	(sb or sth) be (somewhere)	Yanda_Dom	bò	b ò	DB
1132	(sb, mammal) bite (sb)	Ampari	dígò	d í ɡ ò	DB
1133	(sb, mammal) bite (sb)	Bangime	támbà/táw̃à	t á m b à t á wⁿ à	DB
1134	(sb, mammal) bite (sb)	Bankan_Tey	kúwó	k ú w ó	DB
1135	(sb, mammal) bite (sb)	Ben_Tey	kúwó	k ú w ó	DB
1136	(sb, mammal) bite (sb)	Bunoge	núnjè	n ú n dʒ è	DB
1137	(sb, mammal) bite (sb)	Gourou	kɛ́rɛ́	k ɛ́ r ɛ́	DB
