English,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia)
large round basket woven from strips of tree branches (for carrying millet from field),jèsú,,,,,,,,,,tòmɔ́,,,,"tòmmò dúyɔ́, yùù dùyì-yú tòmmò",,,,,,,,,,
small basket woven from tree-branch strips,jès-í:,gɔ̀rⁿù-tɛ᷈:,,,,tàj-î:ⁿ,jòmdù pànà-[tɔ̀:rⁿ-ú],,,sègú,tòmɔ̀-ýⁿ,,,,tòmmó,,,,gwà:-dòŋólò,dɔ̀ŋgɔ̀lɔ̀ sórò-mb-ô:,,,,,
"very small basket woven from branch strips (e.g. for bringing a few millet grain spikes out of a granary as daily food, or as an offering at a name-giving ceremony)",,pàŋànûm,,"pàŋà-tòndî, pàŋà-tóndí",,pàná-táj-î:ⁿ,mɛ̀rɛ́-nàŋàyⁿ,,,,gɛ̀:-[tòmɔ̀-ýⁿ],,,,,tòmmó-ŋ́,,gɔ̀tíyá,gwà:-dòŋólò,yógé dɛ̀ndù\\dɛ̀ndì,,làbùrù àndí tòŋònì,,,
"cotton basket, woven from flexible wood strips cut from branches",nàmèy-jès-í:,,nàmù-gɔ̌n,,,,,,,kɔ́nú ségú,tòmɔ́,,,,,,,,,,,dɛ̀rɛ̀gí,,,
"mid-sized basket loosely woven from flexible wood strips cut from branches, used to bring out one family's ration of millet grain spikes from the granary",,,,tòndì-[pàndà-tɔ᷈:],,,,,,,,,,,pànnù tòmmò-ý,,,,,,,,,,
low flat filtering basket woven from branches (for sifting out sand etc. from roselle or cow-peas buried in sand for storage),,,xxx,yògìrî,dòmònsìlí,,,,,sègú,gòrò-ý,séʔérí,,,yìgìnnɛ́,,,yìgìná,nìm-yègìrù,,,,,,
basket for reaping wild fonio grains,gɔ̀n-tɛ̌w,,bɛ́:dàl,,,bɛ́:tɛ́,,,bɛ́:tɛ́,,,,,,jáw,,,,,,,,,,
tiny basket woven from doum-palm frond (used by older people to keep coins etc.),,kù-kɔ̀lɔ́,kɔ́kɔ́lɔ́,,,kì-kɔ̀nɔ́,,,,,kú-kɔ́nɔ́,,,,jɔ̀mmɔ̀y bùdù kùndú,,,,kɔ̀-kɔ̀nɔ̀,"kèlû: dɛ̀ndù\\kèlî: dɛ̀ndɛ̀, m̀bú:dì dɛ̀ndù",,,,,
"basket with round base woven from doum-frond strips, carried on head (e.g. to markets)",,,gùndû:,,,,,,,sègú,,,,,"ìbɛ̀ jɔ́mmɔ́, jɔ̀mmɔ̀ kúí",,,,,dɛ̀ndú\\dɛ̀ndí,,,,,
"large basket woven from strips of doum-palm frond, for transporting millet grain spikes or measuring a bushel-like quantity of them (carried on head)",,,,,,,,,,,,,,,jɔ̀mmɔ̀ dúyɔ́,,,,,yógé dɛ̀ndù\\dɛ̀ndì,"kɔ́:ndɔ́ (squared base, made at Boui)",,,,
"cotton basket, woven from strips of doum-palm frond",,,,,,,,,,kɔ́nú ségú,,,,,jɔ́mmɔ́,,,,cèɲè-tàzíyè,sá-gò dɛ̀ndù\\sáyè dɛ̀ndù,,,,,
"small round basket for cotton, woven from doum-frond strips or grass stems",,"gùlù-bɛ́rɛ́, nà:mù-nì:njɛ́",,"nà:mbì-gɔ̀rⁿí, nà:mbì-gɔ̌n tóndì, nà:mbì-gɔ̀rⁿí tóndì",,,,,,,,,,,tádú,,,,,,,gájì,,,
"squared basket, woven from palm leaf strips of variable width",,,,,,,,,,,,,,,,,,,,,,bɔ́:lí,,,
"basket with wooden neck and squared bottom, woven from palm leaf or from strips of tree branches",,,,,,,,,,,,,,,xxx,,,,,,,tóŋónì,,,
"Fulbe-type basket-holder (ropes suspended from ceiling, keep baskets off the ground)",dɛ́:gɛ̀,dɛ́:gɛ́,dɛ́:gɛ́,dɛ́:gɛ̀,jóŋgòlòŋ,dɛ́:kà ~ dɛ́:kɛ̀,dɛ́:gɛ̀,,,jóŋgólú,xxx,swé,xxx,xxx,"dɛ́ɛ̀gɛ̀, táálàà, yóúrú",jóŋgòl,,dɛ̀ndùgú,dɛ́:gɛ̀,"tà:lâ:\\tà:lɛ̂:, dɛ́:gɛ̀\\dɛ́:gɛ̀",sòŋgù,jóŋgólè,,jóŋgò,jóŋgôl
straining basket in borassus-palm frond strips (for fruit juices etc.),,,,,,,kɔ̌:,,,,xxx,,,,sìŋgìlì-ý,,,,òmòlù-sɛ̀zù,ìnjè-[sèj-í-ŋgò]\\-sèj-î:,,,,,
"small basket woven from tough grass stems (Vetiveria) for sifting out sand from cow-peas or roselle stored underground, also used as a measure for bundles of millet grain spikes",,nùwⁿì: ɲɛ́ŋɛ́rⁿɛ́m,,,,,,,,,xxx,,,,"yɛ̀ŋgù yɛ̀ŋgú, yìgìnnɛ́",,,,,,,,,,
"basket made with branches used to filter fruit juices (tamarind, wild grape)",,sègérè,,òmòrò-tɛ̀sî,,sì-sèg-î:ⁿ,,,,,xxx,,,,sìŋgìlì-ý,,,,,,,sɛ̀gí,,,
"small basket loosely woven from flexible wood strips cut from branches, used as a collander for straining out water from boiled food",,,,,,sì-sègù nì:-[sɛ̀gùr-ú],,,,,xxx,,,,,,,,,,,,,,
first layer of millet grain spikes in a basket or shoulderbag,tùfú ~ tùpú,dùmbǒy,dúmbú,yù:-dùmbó,pɛ̀gú,jɔ̀ɣɔ́,dùmbó,,jɔ̀ɣɔ́,ɲù:-jɔ̀gɔ́,pɛ̀gɛ́,,xxx,xxx,yùù pɛ̀gú,jɔ́g-gù,,pɛ́gɛ́-sú-ŋgò,pɛ̀gà,[àŋà-mbò]-dùmbú,,,,,
place (millet grains spikes) vertically as the first (lowest) layer in a basket or shoulderbag,tùfú túfú\\túfó ~ tùpú túpú\\túpó,dùmbó,,dùmbó,pɛ́gɛ̀\\pɛ́g-ɛ̀,jɔ̀ɣɔ́,dùmbó,,,jɔ̀gɔ́,pɛ́gɛ́-\\pɛ́gú xxx[chaining],,,,tòmmó pɛ́gɛ́,jɔ̀gɛ́,,pɛ́gɛ́ (pɛ́gɛ́-tì-),pɛ́gɛ́\\pégá-lì,dùmbí\\dùmbé,,,,,
second layer of millet grain spikes in a basket or shoulderbag,sɔ́,sìwěy,sìwî:,yù:-sɔ̀mɔ́,sìbú,sìwé,sìwé,,sìwé,ɲù:-sìwé,sìbú,,xxx,xxx,yùù síbú,síbù-g,,síbé,sìbè,dɔ̀ŋgɔ̀lɔ̀-sìbǎ:\\-sìbɛ̌:,,,,,
lay the second layer of millet grain spikes in a basket or shoulderbag,sɔ́ sɔ́\\sɔ́,síwé,,"sɔ́mɔ́, síwé",síbè//síbè,síwé,síwé,,,síwé,síbé-\\síbú,,,,tòmmó síbé,síbè,,síbí (síbí-tì-),síbé,síbí\\sìbè,,,,,
weave leather or inner-bark strips down the side of a basket made with branch strips (to strengthen it),,kírɛ́,xxx,kírí,,xxx,kírɛ́,,,,xxx,,,,,,,kílɛ́ (kílɛ́-tì-),kílɛ́\\kílá-lì,sánjí\\sànjè,ów ɔ́wɔ́,,,,
reinforce (basket made from grass stems) by sewing a large piece of leather or inner bark around the base,dàpú\\dàpá,kírɛ́,xxx,dǎ:,gòbòlǒŋ kán(à),kówó,kírɛ́,,,,xxx,,,,,,,,tádú\\tádá-lì,kɔ́bɛ́,,,,,
reinforce the rim of (basket) with strips of leather or inner bark,dàpú\\dàpá,kírɛ́,xxx,kírí,,kówó,dùŋgó,,,dùŋó,xxx,,xxx,xxx,,mìnné,,kɔ́mbú (kɔ́mbú-tì-),dùŋó\\dùŋò-lí,sánjí\\sànjè,,,,,
weave a thick band of branch strips that will later form the rim of a branch-strip basket,,,xxx,kó:ró,gòbòlǒŋ kán(à),xxx,xxx,,,,xxx,,,,kúŋó,,,,yèndù-kílɛ̀ kílɛ́\\kílá-lì,kúŋgɛ́,,,,,
"tobacco box, container for snuff or chewing tobacco (originally a cowhorn or animal hide)","bátá, síràw bàtà","bátà, sìrè-bàtá","bátà, sìrò-bátà",sìrè-bátâ,sìrà:-bàrá,"bàtá, sìrè-bàtá",bádà,tɔ̀wɔ̀ děyⁿ,,tɔ̀:wɔ̀-dɛ̌ⁿ,sìrà:-[bàrà-ý],sìrà-bárá,xxx,xxx,sìràà bárá,tàb-gɔ́lɔ̀,,sìrè-bárá,sìrà-bàrá,bátà-ŋgò\\bátà,tàwá òrí,tábá gólógè,,,
metal jewelry box,,kánú-bárá,kárbárá,kándí-bárá,,kárbárá,kánúbárà,,,tò-tó:,ɛ́rⁿɛ́ kànbàrà,,xxx,xxx,gòŋgò-ý,kánùmbàrà,,,,ké:sù\\ké:sì,,kìŋgù tùlyé gòŋgò:ⁿ,,,
tin can,tóŋó,ìrⁿɛ̀yⁿ góŋgó,kɔ́ŋkɔ̀,góŋgó,gòŋgǒŋ,góŋgó,góŋgó,,,tò-tó:,tù-tô:,bwà:tí,xxx,,"góŋgó, ìnɛ̀ góŋgó",góŋgò-ŋ̀ (pl góŋgò yà:),góŋgóŋ,gòŋgóŋ,"tótô:, góŋgó",tòndǒ:\\tòndě:,gɔ̀ŋgɔ̀rí,,,xxx,kɛ̀mɛ̂y
"large box, chest",cé:sù,kóró,ké:sù,kóró,ké:sù,kóró,kóró,,,kóró,kóró,kóró,,,kéésù,,,kóró,kóró,"tòndò gìndɔ́:\\tòndè gìndɛ́:, kè:sù gìndɔ́:\\kè:sì gìndɛ́:",,késì,,,
(tea) bag,pàkěy,bɔ̀:tɔ́,xxx,,,sà:sê:,sà:sê:,,,sɛ̀:kúrɔ́,bɔ̀:rɔ̀-ý,,,,"bɔ̀ɔ̀rɔ̀-ý, dɔ̀ɔ̀ⁿ jɛ̀mbɛ̀-ý",,,,,pàgùmbó\\pàgìmbé,,,,,
pack (of cigarettes),pákátì,pàkê:,pákè,"pàkê:, pàgê:, págádì",,bɔ̀:tɔ́,,,,págátú,,,,,"pàké, kúnnú",,,,págàdù,pákè:-ŋgò\\pákè:,,pákè,,,
"packet (of sugar, tea, cigarettes)",pákátì,"pàkê:, págátù",pákè,"pàkê:, págádì",,pàkê:,pákê:,,,págátú,"pàkê:, págàdù",,,,págàdù,,,,,,,,,,
pail,síyôŋ,"síyèw, bógótù",xxx,sô:,sô:,"sô:, síyô:",bógódù,,,só:,"sô:, bógòdù",só:,,xxx,,síyò-ŋ̀ (pl síyò yà:),mánáʃìyɔ̀,bógótì,bógòdò,síyò,sìyówⁿ,,,,
bottle,lú:lù,bùtólù,xxx,bútêl,búdè:lù,bùtêl,bútélù,,,bùtélú,bútòl,,,,bùdòlí\\búdèl,búttèl,bìtéégù,bútèl,bútèl,tòndǒ:\\tòndě:,bùtèlí,,,,
"glass (material, e.g. bottle or window)",dígì,wɛ́:rù,xxx,wɛ́:rì,wɛ́:rù,vítrù,wɛ́:rù,,,wɛ́:rú,wɛ̂:r,,,,wɛ́ɛ̀rù,wɛ̂:r,,,,bùtêl-ŋgò\\bùtêl,wɛ́:rí,,,,
"canister (for water, oil, etc.)",bìdôŋ,bùtɔ̂:ⁿ,xxx,bùdɔ̂:ⁿ,,bìdɔ̂:ⁿ,bìdɔ̂:ⁿ,,,bìtɔ́:ⁿ,bìdɔ̂:ⁿ,bìdóⁿ,,,bìdòmí\\bìdɔ̂m,bìdɔ́ⁿ,,,bìdɔ̂:ⁿ,bìdɔ̂:ⁿ-ŋgò\\bìdɔ̂:ⁿ,bìdówⁿ,,,,
"two hundred liter gas drum (that can be rolled on ground, re-used to transport water, or as a weight or support)",bàrgó,bàrgô:,xxx,bàrkô:,bàrùbɔ̂ŋ,bàrgô:,bàrgô:,,,bàrùgɔ́:ⁿ,bàrgô:,bàrùgɔ̌ⁿ,,xxx,bàrùpóm,bàrgɔ́ⁿ,bàràgóò,bàrkó:,"bàrbô:, bàrgô:",bàrgô:\\bàrgê:,bàrgówⁿ,,,,
spoon,"sɔ́gɔ́lɔ̀, gírúbâl",sɔ́kɔ́lɛ̀,kúyɛ̂:r,"kíwɛ̂r, kíwɛ́rì",kùwɛ́:rù,sɔ́kɔ́llɔ̀,sɔ́kɔ́lɛ̀,,,kúwɛ́:rú,gù-gònì-ýⁿ,,,,"kúwɛ́r, gɔ̀njɔ̀rɔ̀-ý",kíyɛ̀:r,,kúwɛ́rù,kúyɛ̀rù,gɔ̀njɔ̀rɔ̂:\\gɔ̀njɔ̀rɛ̂: = gɔ̀njɛ̀rɛ̂:,kúyɛ́:rí,kùwɛ́rì,,,
ladle (noun),zòkùtó,"kɔ̀túnɔ̀, kɔ̌nnɔ̀","kɔ̀tùmbù kóŋgúró (from calabash plant), kùdú (metal)",lúgɔ́sì,kùnnɛ̌y,tùgûn,tònì:-kóŋgóró,tùŋùnɔ̌:,tùŋûn,kɔ̀nɔ̌:,kɔ̀rɔ̀-ý,jògùŋgù,xxx,xxx,kɔ̀rɔ̀-ý,,kúddù,ìnjìrbɔ̀ŋɔ́,kɔ̀dɔ̀-bènzélè,kɔ̀r-pàlâ:\\kɔ̀r-pàlɛ̂:,kùn-síŋgá,,,tébéŋgè,tùndàgà
ladle for drinking,,,,,,"tùgùn-nɔ̌:, tùŋ-nɔ̌:",,,,,,,,,"kɔ̀rɔ̀ kìnì-gì-ý, kɔ̀rɔ̀ bɔ̀ŋɔ̀lɔ̀-ý",bènjubélè,bènjìbɛ́lɛ̀,,,,,kɔ́mdɛ́gɛ́ \\ kɔ́ndɛ́gɛ́,,,
ladle for drinking cream of millet or porridge,sèrú zòkùtò,pìrⁿà-kɔ̌nnɔ̀,xxx,,,tùgùn pìrⁿè-[nɔ-yⁿ],tònì:-kòŋgòrò pìrⁿè-[nɛ̌-yⁿ],,,,kɔ̀rɔ̀-[kìŋì-ý],,,,sòlù kɔ̀rɔ̀-ý,bènjubélè,bènjìbɛ́lɛ̀,,,sòlé kɔ̀r-pàlà:,,,,,
ladle for drinking water,,kɔ̀tùnɔ̀-[nì:-nɔ̌-ỳⁿ] ~ kɔ̀nnɔ̀-[nì:-nɔ̌-ỳⁿ],kɔ̀tùmbù nî: nɔ̌:-ŋ̀,lùgɔ̀sì-[nì:-nɔ᷈:],,tùgùn nì:-nɔ̌-yⁿ,tònî:,,,dì:-kɔ̀nɔ̌:,dì:-[kɔ̀rɔ̀-ý],,,,dìì kɔ̀rɔ̀-ý,,bènjìbɛ́lɛ̀,,,íŋgé kɔ̀r-pàlà:,,mì: kɔ́ndɛ́gɛ́,,,
ladle for porridge and cream,,kɔ̀tùnɔ̀ kóŋgóró,,lùgɔ̀sì-kóndúgó,,pìrⁿé-túgûn,,,,pùrⁿù-kɔ̀nɔ̌:,,,,,"kɔ̀rɔ̀ bɔ̀ŋɔ̀lɔ̀-ý, kɔ̀rɔ̀ kìnì-gì-ý",,,,,,,sìjàlà kɔ́ndɛ́gɛ̀,,,
large ladle for scooping and pouring porridge and cream,,pìrⁿà-kɔ̌nnɔ̀,,,,pìrⁿé-túgûn,,,,pùrⁿù-kɔ̀nɔ̌,pɔ̀rⁿɔ̀-[kɔ̀rɔ̀-ý],,,,,,,,sòl-kɔ̀díyè,,,,,,
sauce ladle,nìŋú zòkùtò,jò:rù-kɔ̌nnɔ̀,sɔ̀mèy kɔ̀tùmbû:,jòwrì-lúgɔ́sî,,nìŋé túgûn,tònì:-kòŋgòrò [jò:r-nì:]-[kɔ̌-y],,,nìŋɛ̀-kɔ̀nɔ̌:,nɛ̀ŋɛ̀-[kɔ̀rɔ̀-ý],,,,"jòbùrù kɔ̀rɔ̀-ý, kùdú",kúddù,kúddù,,nìnjù-kɔ̀díyè,jàbìré kɔ̀r-pàlà:,,ɔ̀rɔ̀ mí: kɔ́ndɛ́gɛ́,,,
long ladle for stirring porridge,"bòlò-gɔ̀rú zòkùtò (""porridge-scoop ladle"")",kɔ̀nnɔ̀-kóŋgóró,xxx,,,tùgùn pìrⁿè-[yàgùw-ú],tònì:-kòŋgòrò [pìrⁿè-[gà:rⁿ-ú],,,,xxx,,,,"sòlù kɔ̀rɔ̀-y pàlá, kɔ̀rɔ̀ kìnì-gì pàlá",,,,,bà:nâ: kɔ̀r-pàlà:,,,,,
very small ladle for stirring shea-butter,,,xxx,lìgì-lúgɔ́sì,,xxx,tònì:-kòŋgòrò nùŋ-[kɔ̌-y],,,,xxx,,,,,,,,,nègé kɔ̀r-pàlà:,,,,,
wide-mouthed ladle (kept with a big calabash),,kɔ̀nnɔ̀-bùŋgɔ́,xxx,lùgɔ̀sì-bɔ̀ŋgɔ́,,tùgùn-bɔ̀gú,,,,,xxx,,,,,,,,,bɔ̀ŋgɔ̀-túmbá\\-túmbɛ́,,,,,
metal straining ladle with small holes,,kùtù [ɲɛ̀-yⁿ]-wɔ̀gìrî:,,,,kùtù-ɲà: wɔ̀gùrú,,,,,,,,,,,,,,,kùtí,,,bó:lò,kúddù
"ladle, serve (a meal, scooping it from the pot and serving it into the eating bowl)",wùrú\\wùrɔ́,wɔ̀gùrú,"áyá, wɔ̀:rí",wɔ̀gírí,kɔ́bɔ\\kɔ́b-ɛ̀,wɔ̀ɣɔ̀rɔ́,wɔ̀ɣɔ̀rɔ́,,,ɲǎ: wɔ̀gɔ́,wɔ̀gɔ́lɔ́-\\wɔ̀gúl,wɛ̀ʔɛ̀,,,kɔ́bɔ́,"wàlé, kɔ́bɛ̀",,wɔ̀gǔl (wɔ̀gǔl-tì-),wɔ̀gúlɔ́,wǎl\\wàlè,,wáwè,,,
"serve (sauce, onto millet cakes, e.g. with a ladle)",gɔ̀rú kúlú\\kúló,párá,tí,gàrⁿí,kúndò\\kúnd-ì,kúnó,párá,nìŋɛ́ kúnó,,kúnɔ́,"kɔ́:rɔ́, kúnɔ́",twɛ́:,,,"párá, kɔí-rɛ́",kú:rè,kùndé,gǎn (gǎn-tì-),pádú,wǎl gǎn,,bá:dyê:,,,
"serve (sauce, by spreading widely on flat-surfaced rice, couscous, or fonio in a bowl, with a ladle)",má:fɛ̀ kúlú\\kúló,párá,,"párí (onto rice, couscous, fonio)",kɔ́:rɔ̀\\kɔ́:r-ì,sɔ́:rɔ́,,,,sɔ́rɔ́,kɔ́:rɔ́,,,,,kú:rè,,"pár (pár-tì-, neg pàr-lí-)",pádú,,,,,,
scoop and serve (sauce) from the sauce pot into an empty bowl with a ladle,gɔ̀rú kúlú\\kúló,kɔ́wɔ́ gǎyⁿ,xxx,kɔ́: kúrⁿí,,kɔ́wɔ́ kúnó,kɔ́: kúló,,,kɔ́: sɔ́rɔ́,kɔ́bɔ́,jò: kùlí,,,,,,kɔ́bɔ́ (kɔ́bɔ́-tì-),kɔ́bɔ́\\kɔ́bá-lì,tóy gǎn,,,,,
scoop up (food) in one hand from a bowl,jɛ̌w\\jɛ̀wá,cɛ́,cɛ́,pɛ́njí,kɔ́dɔ̀\\kɔ́d-ɛ̀,jɛ̌:,pɛ́njɛ́,,,wɔ̀gɔ́,wɔ̀gɔ́,,,,wɔ̀gɔ́,kóglè,,[nùmá: ní] wǎ: (wǎ:-dɛ̀-),pánúlɛ́,ɔ̀gɛ́,,kémbúlè,,kínì,kíní
add (e.g. rice grains) to food cooking in pot,kúlú bàrú\\bàrá,párá,sɔ́:rà kǎŋ,dɛ̀mbí,,sɔ́:rɔ́,sɔ́:rɔ́,,,kúǹ,bàrá,,,,bàrá,,,,,sɔ́:rɛ́,,bá:rè,,bárè,
add (flour) to the food cooking in a pot (verb only),úkkà kárⁿú,dɛ̀mbí,dɛ̀mbí,dɛ̌mbí,pùnnǎŋ kúndò,lɛ́jɛ́,dɛ̀mbɛ́,,,pígé,dɛ̀mɛ́rɛ́,,,,dɛ̀mbɛ́,wàksé,,dɛ̀mbí (dɛ̀mbí-tì-),dɛ̀mbɛ́\\dèmbà-lí,dɛ̀mbɛ́,,bá:rè,,,
(liquid) drip (one drop at a time),lékúrú\\lékúró,tégé,téké,tégé,télè\\tél-e,lém-lém bàɣá,tégé,sómó,,"léwé, sóró",tégé-\\tégé xxx[chaining],,xxx,xxx,tégé,ténè,tèné,tégé (tégé-tì-),"tégé, sómbó",tégí,"dégó, dègú-dègù kán(ú)",sólé,,sɛ́njɛ̀,dégé
(dripping) one drop at a time,,têg-têg,tégù-tégù,tégî-tégî,,"lém-lém, têg",lém-lém-lém,,,,lêm lêm,,,,ték-ték,,,,,tég-tég,,sólénè sólénè,,,
dripping (adverb),,,,,,lém,,,,,,,,,ték-ték,,,,,,,sólénè,,,
(liquid) drip (from wet hands or wet clothing),,tégé,xxx,tégé,,sómó,sómbó,,,,"tégé, sómó",,,,"sémbé, tégé",,sòmbé,,,tégí,,,,,
(water) drip from a leaky ceiling,,tégé,xxx,tégé,,sómó,,,,,tégé,,,,tégé,,,,,kúndúlé tégí,,,,,
(water) drip from trees (after a rain),,sómbó,xxx,tégé,dî: télè\\tél-e,sómó,sómbó,,,"léwé, sóró",sómɔ́,,xxx,,sómbó,sómbè,,tégé (tégé-tì-),,tégí,,,,,
(sweat) drip,,tégé,téké,tégé,,ɲɛ̀wⁿɛ́,sómbó,,,sómó,tégé,,,,(sòó) tégé,,,,,úgù tégí,,sólé,,,
(liquid) drip (rapidly),só\\só,tégé,téké,tégé,télè\\tél-e,sómó,sómbó,,,,sómɔ́,,,,sómbó,,,,"tégé\\tégé-lì, sómbó\\sómbó-lì",,,,,,
(liquid) dripping rapidly (adverb),,,,,,,,,,lêw-lêw,sûm-sàm-sûm,,,,sóródòò-ni,,,,,sɔ́rrrr nɛ̀,,,,,
"drip rapidly from a number of different sources (water or grains through a colander or sieve, rain shower, sweat in hot weather)",,,,,,,,,,,,,,,píɲjí-yé,,,,,,,sómbé,,,
"put a few drops in (eyedrops, eardrops)",tɛ́kú\\tɛ́ká,tɛ́yí,xxx,tégé-mí,télè-mɔ̀\\télì-m-ì,tɛ́gɛ́,tɛ́gɛ́,,,léwé-m̀,tɛ́gɛ́,,,,,tɛ́gɛ̀,,tégé-m (tégé-mí-tì-),tɛ́gɛ́\\tégá-lì,tɛ́gɛ́,dégé-m(í),,,,
drop (of liquid),lèkùrú,,,,,,,,,lěw,xxx,,,,tégí-lé,,,,,tégí-lé,,sóléŋgé,,,
"(condensed water) drip, fall in drops (from new waterjar or waterskin)",sáw\\sáwá,tégé,xxx,xxx,,xxx,xxx,,,,sómɔ́,,,,sámbá,,,,"tégé\\tégé-lì, sómbó\\sómbó-lì",sámbí\\sàmbè,,,,,
(beads of sweat) form (e.g. on one's forehead),,sù-sǒ: tá,xxx,sǒy tá,,ò:gú gǒ:,sò-sǒy tá:,,,tɔ́rɔ́,sǒ: gǒ:-\\gǒ:,,,,táá,,,,,ùjùrmbó túmbí\\tùmbè,,,,,
sprinkle (water) from a container,wàwùsú\\wàwàsá,sɔ́rɔ́,nɔ̀:-mí,yɛ̀rɛ́,pídè\\píd-è,sɔ́rɔ́,sɔ́rɔ́,,,sɔ́rɔ́,kɔ́:rɔ́,twɛ́:,xxx,xxx,yììlé,písè,kùùrɛ́,sɔ́rɔ́ (sɔ́rɔ́-tì-),ínjú kún-dó,sú:rɛ́,tɔ́:,tú:yɛ̀,,ná:-mì,ná:-mì
toss (surface water) with scooping motion of both hands,mǎm\\mǎ:ⁿ = màwⁿá,wàrá,m̀bàsá,wànjí,,wàrá dàɣá,wànjá,,,wàrá,wàlá,,,,wànjá,,,,wǎl,wànjí\\wànjè,,wálánjè,,mínjè,pínjé
toss (water) from wet hand with active gesture,mǎm\\mǎ:ⁿ = màwⁿá,písé,písé,písé,pídè\\píd-è,píjé,màsá,,,màɲá,mìɲɛ́-\\mìɲɛ́,mɛ̀jɛ̀,,,mìnjé,,pìsé,pídé (pídé-tì-),pízé,mìjí\\mìjè,mínjó,píjé,,mínjè,mínjé
sprinkle (water) by shaking one's hand,mìsú\\mìsó,mìsé,písé,mìsé,mìdé\\míd-è,"mìɲé, mìɲɛ́",mìsé,mìsé,mìɲɛ́,mìɲé,mìɲɛ́-\\mìɲɛ́,mìjè,,,yììlé,mìsé,mìsé,mìdé (mìdé-tì-),"mìnzé, pízé",mìjí\\mìjè,dégé-m(í),píjé,,mínjè,mínjé
sprinkle (water) lightly with the hands,"wìwìsú\\wìwìsó, wísà kárⁿú\\kárⁿá",tɛ́yí,,tɛ́gí,,tɛ́gɛ́,mìsé,,,,mìɲɛ́-\\mìɲɛ́,,,,mìnjé,,pìsé,,,mìjí\\mìjè,mínjó,míndyé,,,
splash or toss (water) by hand (as in bathing),mǎm\\mǎ:ⁿ = màwⁿá,wànjí,wɛ́ccà káŋ,wànjí,mìdé\\míd-è,wàɲá,wànjá,,,wàrá,wàlá-\\wǎl,wɛ̀lɛ̀,,,wànjá,wàlé,wàlé,wàndí (wàndí-tì-),wǎl,wànjí\\wànjè,wájó,wálánjè,,,
"(water) splash, spray (e.g. at a waterfall)",písú\\písó,pínjé,písé,pínjé,pínj-è:\\pínj-ì-ỳ,píɲé,pínjé,,,wòyó,píɲ-ɛ́:-\\píɲ-í:,,,,pínjí-yé,,,sómbó (sómbó-tì-),pínzíyé,dùjí\\dùjè,,pílyê:,,,
splashing noisily (at a waterfall) (adverb),,,,wúyàw→,,wé→,,,,,wùyàw→,,,,,,,,,vǔ→,,,,,
splashing from pouring out lots of liquid (adverb),,wáyâw→,,sú→,,wúyàw→,wúyàw→,,,,pàjày→,,,,,,,,,pájày nɛ̀,,,,,
irrigate (e.g. field),,sɔ́rí,nɔ̀:-mí,yɛ̀rɛ́,dî: kúndò,sɔ́rɔ́,,,,wòrú sɔ́rɔ́,dǐ: kɛ́lɛ́ kúnɔ́,,,,díí kárá kúndó,,,,zǎl,,,mì: túlé,,,
water (a plant or tree) by pouring from a container,tútú\\tútɔ́,sɔ́rú,xxx,yɛ̀rɛ́,dî: kúndò,sɔ́rɔ́,sɔ́rɔ́,,,sɔ́rɔ́,dǐ: kúnɔ́,twɛ́:,,,dàgá,nà:-mé,,sɔ́rɔ́ (sɔ́rɔ́-tì-),,nǎ:-m\\nà:-mɛ̀,tɔ́:,,,,
small residue of liquid that collects at the bottom of a container after a liquid is poured out ,,téksè,tékìsê:,tégísè,dì: tègúlù,"tègéjè ~ tègíjè, tégù",tégísè,,tègéjè,dì: síg-ɛ́,tègélè,,,,tégélé,ǹɲù tɛ́ŋà (verb tɛ́ŋ-yɛ̀),,,tégèlù,tègèlè-tégèl-ŋgè\\tègèlè-tégèlè,"cɛ̂wⁿ ànjè-sá rì (""the little that remains"")",súgù,,,
"sediments in a cooked liquid, e.g. millet grains in cream of millet",sáŋà,sɛ̀:rⁿɛ́,sɛ̀:rⁿɛ́,sɔ̀-sɔ̌:rɔ̂,dɔ̀rɔ́\\dɔ́r-ɛ̀ ('form sediments'),"sɛ́ŋɛ̀, sɛ̀ŋɛ́rⁿɛ̀",séŋgè,,,"pùsàrú, bɔ̀bɔ̀rú",sɛ̂ŋ,síʔⁿínɛ́,,,dɔ́rɔ́,nɛ́ccɛ̀,,sùsàlɛ́,sòzôŋ,bùrè-búrè,ɛ̀jɛ̀gè,nékè,,kúndè,ɛ́njɛ́:-ŋgé (y-)
